year,geo,hh,house_disp,employ_hash_education,employ_total,employ_f,employ_m,not_employ_total,population,child_avg_allwk,child_avg_allnowk,child_avg
2005.0,SE,HHC_41,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SE,HHC_42,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SI,HHC_21,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SI,HHC_22,371.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SI,HHC_31,139.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SI,HHC_32,184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SI,HHC_41,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SI,HHC_42,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SK,HHC_21,129.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SK,HHC_22,600.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,SK,HHC_31,300.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
